DATE,AVE_TEMP,AVE_RH,TOT_PREC,MIN_TEMP,MIN_TEMT,MIN_RH,MIN_RHT,MAX_WS,MAX_WST,MAX_TEMP,MAX_TEMT,MAX_RH,MAX_RHT,MAX_GSW,MAX_GSWT,MAX_DSW,MAX_DSWT,MAX_NETR,MAX_NETT,MAX_GPAR,MAX_GPAT,MAX_DPAR,MAX_DPAT,TOT_GSW,TOT_DSW,TOT_GPAR,TOT_DPAR,POT_PAR,POT_SW,KT_PAR,KT_SW,MIN_NETR,TOT_NETR,AVE_BP,AVE_SWS,AVE_RWD,AVE_RWS,WD_SD
1/1/2002,-7,65,0,-14.2,725,37,1516,9.7,1446,1.3,1330,89,737,527,1253,193,1253,220,1254,984,1253,581.5,1402,8627,2232,16,7.71,22.44,1.30E+04,71,68,-98,-84,752,2.045,225.6,0.145,78.1
1/2/2002,-7.4,72,0,-15.8,641,41,1321,8.9,1332,2.9,1325,91,2319,508,1300,164,1307,220,1301,959,1300,541.9,1407,9230,1694,16.28,6.99,22.53,1.30E+04,72,72,-95,595,755,1.698,238.2,0.267,74.3
1/3/2002,-6,72,0,-14.9,737,39,1416,6.1,1715,1.9,1339,92,124,513,1113,57,1025,182,1135,836,1142,546.5,1407,9042,1513,15.93,6.44,22.64,1.30E+04,70,71,-118,911,750,1.706,346.9,0.344,72.4
1/4/2002,-3.6,69,0,-11.2,558,44,1337,6.9,1603,1.6,1336,94,312,560,1143,286,1327,,,1062,1142,536.7,1327,5740,3612,10.9,7.84,22.75,1.30E+04,48,45,,,749,1.702,227.8,0.898,55.65
1/5/2002,0.6,50,0,-1.9,1759,41,1316,7.3,946,4.1,1444,68,1759,416,1148,272,1042,,,825,1148,508.3,1042,4301,4301,8.76,8.5,22.87,1.30E+04,38,33,,,750,2.472,222.6,1.922,38.2
1/6/2002,1,55,2.5,-4.8,529,29,1305,6.5,2226,5.8,1231,96,2356,308,1123,224,1124,,,621.1,1123,431.7,1147,2595,2595,5.53,5.35,23,1.30E+04,24,20,,,745,1.792,111.9,0.821,59.63
1/7/2002,-2.4,91,10.2,-7.3,2359,80,2352,8.9,1813,0.2,804,96,16,29,1308,26,1308,,,31,1308,31,1307,414,396,0.44,0.44,23.14,1.30E+04,2,3,,,739,2.414,351.3,2.039,31.94
1/8/2002,-6.4,77,0,-14.3,732,60,1156,6.5,155,-1.5,1520,90,615,521,1151,228,1331,,,854,1254,740,1412,7498,2824,12.13,6.88,23.29,1.30E+04,52,57,,,747,1.811,197.1,0.475,69.57
1/9/2002,-0.6,77,0,-4.9,257,61,937,8.5,1330,3.1,2243,90,1810,215,1511,203,1417,,,429.7,1417,429.7,1511,2482,2482,5.48,5.38,23.45,1.30E+04,23,19,,,742,2.642,183.7,2.294,29.36
1/10/2002,3.6,74,0,-1.2,2047,51,1325,6.9,1029,9.2,1318,94,2301,556,1122,222,1112,,,1078,1122,429,1111,5565,3854,11.29,7.64,23.61,1.30E+04,48,42,,,743,1.981,203.5,0.88,60.38
1/11/2002,1.3,87,5.6,-1.5,336,58,2152,9.7,2151,3.9,1720,96,906,311,1253,302,1253,,,621.1,1253,561.1,1253,1915,1915,4.21,4.14,23.79,1.30E+04,18,14,,,743,1.958,261.3,0.716,64.52
1/12/2002,2.7,63,0,0.1,405,47,1513,7.7,211,6.8,1509,73,2047,572,1145,287,1121,,,1071,1145,564.3,1414,6966,3021,13.84,8.5,23.97,1.40E+04,58,51,,,746,2.613,219.9,1.598,50.49
1/13/2002,2.1,61,0,-0.3,2353,41,1420,14.8,1459,5.4,1110,92,707,594,1209,199,1004,,,1132,1209,758,1421,4598,3160,9.13,6.52,24.16,1.40E+04,38,34,,,738,3.422,288.9,2.232,47.76
1/14/2002,-0.1,61,0,-5.1,721,43,1449,6.9,8,4,1449,80,723,497,1128,274,1306,,,985,1127,630.3,1443,6004,4460,12.12,9.07,24.36,1.40E+04,50,44,,,751,1.622,150.1,0.146,77.3
1/15/2002,1.4,77,0,-4.9,548,58,1754,9.3,2241,6.4,1341,95,744,582,1310,286,1310,,,1085,1310,691.1,1340,4113,3840,8.4,7.57,24.57,1.40E+04,34,30,,,746,1.802,246.8,0.805,60.25
1/16/2002,1.2,58,0,-2.8,2118,41,1221,10.9,329,3.9,1231,78,2113,576,1020,227,1022,,,1081,1020,567,1335,7795,3767,15.03,7.55,24.78,1.40E+04,61,56,,,752,2.442,300.8,1.525,49.63
1/17/2002,0.5,70,3.8,-4.1,2248,49,1819,8.5,1530,5.3,1320,94,629,549,1317,273,1317,,,1013,1317,550.4,1449,5054,3224,9.5,6.67,25.01,1.40E+04,38,36,,,749,2.51,220.2,1.114,60.4
1/18/2002,-2.8,59,0,-8,350,33,1507,9.3,1054,2.1,1425,90,353,612,1223,313,1214,,,1136,1221,588.1,1441,6711,4620,12.79,9.24,25.24,1.40E+04,51,47,,,751,2.352,281.9,1.518,48.24
1/19/2002,-6,78,7.6,-9.8,324,49,1229,5.3,1255,-2.6,1251,94,2359,165,1222,162,1223,,,346.6,1222,315.6,1223,2301,2301,4.89,4.68,25.48,1.40E+04,19,16,,,753,1.494,137.7,0.735,57.73
1/20/2002,-4,81,0,-8.8,304,56,1438,7.7,1409,1.6,1409,94,44,506,1206,150,1505,,,938,1223,551.8,1431,7012,2735,12.21,6.19,25.73,1.50E+04,47,48,,,751,1.593,212.4,0.584,64.48
1/21/2002,-2.3,84,3.8,-9.7,616,57,2329,8.1,2219,1.7,2210,94,639,205,1401,202,1402,,,420.5,1401,365.7,1401,2269,2269,5,4.81,25.99,1.50E+04,19,15,,,748,2.213,172.2,1.149,56.17
1/22/2002,2.2,58,0,-3.8,2109,32,1405,8.5,1034,7,1423,87,2103,693,1119,306,1032,,,1345,1119,652.7,1411,1.10E+04,3968,20.74,11.15,26.25,1.50E+04,79,72,,,754,2.421,254.3,1.318,54.68
1/23/2002,4.7,67,0,-2.1,253,46,1041,12.1,1030,10.7,1255,91,2308,612,1137,266,1319,,,1300,1120,822,1405,7201,3430,14.86,7.32,26.52,1.50E+04,56,48,,,752,2.775,179.6,2.289,33.88
1/24/2002,5.4,93,0.8,1.9,2352,83,2327,9.3,2116,7.7,1834,96,1822,100,1047,99,1048,,,231.7,1048,207.2,1047,1362,1362,3.22,3.15,26.8,1.50E+04,12,9,,,743,1.982,136.7,0.87,60.68
1/25/2002,2.4,62,0,-1,753,33,1536,8.5,1306,6.9,1439,89,526,513,1151,87,1433,,,987,1214,744,1350,1.10E+04,1725,20.64,8.26,27.08,1.50E+04,76,70,,,749,2.134,270.1,1.014,58.68
1/26/2002,5.4,43,0,0,39,24,1456,8.5,1323,13.5,1419,61,39,599,1314,215,1413,,,1206,1314,957,1410,9305,4369,18.6,12.03,27.38,1.50E+04,68,60,,,753,2.952,212.7,2.351,36.57
1/27/2002,6,47,0,-5,717,25,1459,8.5,1353,15,1442,88,706,548,1145,214,1004,,,1082,1145,802,1339,1.00E+04,2877,20.6,10.47,27.68,1.60E+04,74,66,,,753,2.074,168.7,1.345,48.03
1/28/2002,7.4,55,0,-0.9,815,32,1247,6.5,1043,15.3,1247,88,2354,593,1157,250,1314,,,1150,1157,508.1,1418,9046,4716,17.87,9.3,27.99,1.60E+04,64,57,,,751,2.008,162.1,1.378,45.37
1/29/2002,8.4,72,0,-0.9,300,46,1155,8.1,1202,16.1,1308,93,735,398,939,303,1153,,,876,1153,582.1,1153,5079,4661,10.75,9.19,28.3,1.60E+04,38,32,,,749,2.165,173.8,1.032,58.59
1/30/2002,3.8,86,1.5,0.2,2356,70,1956,8.1,2024,7.8,44,96,850,400,1430,307,1228,,,855,1429,732,1429,2751,2751,5.97,5.76,28.62,1.60E+04,21,17,,,752,1.761,356,1.285,42.1
1/31/2002,-0.9,88,2.5,-2.3,852,78,242,5.7,250,0.6,15,97,2357,68,927,67,927,,,151.2,927,137.3,927,847,847,2.07,1.98,28.95,1.60E+04,7,5,,,759,1.536,359.5,0.795,56.26
