DATE,AVE_TEMP,AVE_RH,TOT_PREC,MIN_TEMP,MIN_TEMT,MIN_RH,MIN_RHT,MAX_WS,MAX_WST,MAX_TEMP,MAX_TEMT,MAX_RH,MAX_RHT,MAX_GSW,MAX_GSWT,MAX_DSW,MAX_DSWT,MAX_NETR,MAX_NETT,MAX_GPAR,MAX_GPAT,MAX_DPAR,MAX_DPAT,TOT_GSW,TOT_DSW,TOT_GPAR,TOT_DPAR,POT_PAR,POT_SW,KT_PAR,KT_SW,MIN_NETR,TOT_NETR,AVE_BP,AVE_SWS,AVE_RWD,AVE_RWS,WD_SD
1/1/1995,4.5,86,14.1,0,7,79,1707,6.4,1850,10.1,1404,90,3,647,1259,337,1259,281,1259,1186,1259,742,1348,4263,3776,8.09,6.32,22.44,1.30E+04,36,34,-55,1634,,1.672,212.6,0.981,52.06
1/2/1995,-0.5,77,18.8,-5.6,2357,57,1642,10.8,1150,5.2,19,89,952,797,1203,170,1203,156,2128,456,1310,393.1,1311,4866,1773,2.69,2.69,22.53,1.30E+04,12,38,-147,-2.00E+03,,2.563,290.2,1.91,40.87
1/3/1995,-5,64,0,-9.5,739,56,1333,8,2316,-2.8,1325,72,751,545,1104,261,1241,20,1101,969,1104,433.3,1323,7121,3876,11.76,6.39,22.64,1.30E+04,52,56,-250,-2.00E+03,,2.772,214.6,2.476,26.48
1/4/1995,-5.5,63,0,-11.8,2342,40,1351,11.6,1337,-2.1,1204,88,638,517,1156,169,1411,111,509,896,1155,658.9,1332,1.00E+04,2245,16.27,6.58,22.75,1.30E+04,72,78,-144,-3.00E+03,,3.373,261.2,2.698,36.23
1/5/1995,-9.3,51,0,-13.9,537,42,1627,8.8,1454,-5.1,1502,59,700,482,1201,67,1201,4,1912,842,1158,581.9,1317,9719,1740,16.47,6.39,22.87,1.30E+04,72,75,-111,-4.00E+03,,3.316,239.5,2.924,27.85
1/6/1995,-4.5,47,1.3,-10.7,334,26,1130,8.4,1308,0.2,2103,90,2359,549,1123,290,1151,34,1206,970,1123,479.4,1325,5904,3457,10.25,5.71,23,1.30E+04,45,45,-97,-2.00E+03,,2.728,171.8,2.5,23.41
1/7/1995,0.9,86,16.5,-0.9,2356,69,2347,8.4,1857,3,837,90,58,197,1131,190,1131,51,1132,390.7,1131,315.8,1131,1872,1872,3.61,3.09,23.14,1.30E+04,16,14,-65,-267,,1.999,348.7,1.088,54.7
1/8/1995,-2.6,65,0,-6.2,810,50,1519,7.2,1317,0,1434,81,832,538,1218,195,1000,155,711,933,1219,579.3,1313,8594,2662,14.74,7.57,23.29,1.30E+04,63,65,-135,-2.00E+03,,1.922,270.9,0.855,60.34
1/9/1995,-5.3,67,0,-11.5,741,44,1436,6.4,1227,0.7,1415,90,938,641,1140,228,1139,166,1141,1086,1140,604.8,1316,9991,3366,15.8,7.6,23.45,1.30E+04,67,75,-146,-1.00E+03,,1.676,311.1,0.397,70.8
1/10/1995,-7.7,70,0,-13.2,433,47,1516,6.4,1251,-2.5,1427,89,1000,628,1225,213,1227,175,1227,1086,1225,609.7,1329,8945,3361,15.19,7.09,23.61,1.30E+04,64,67,-73,-668,,1.211,25.84,0.4,66.31
1/11/1995,-7.4,87,3.3,-10.1,150,81,0,3.2,412,-4.2,2359,91,1736,78,1041,74,1041,12,1140,150.6,1104,111.3,1104,1272,1272,2.29,1.79,23.79,1.30E+04,10,9,-54,-562,,1.471,332.8,1.309,26.84
1/12/1995,1.3,89,2.5,-4.2,1,88,1815,6.4,1004,4.8,1815,90,12,138,1438,133,1438,54,1438,256.2,1438,208.1,1438,1637,1637,3.09,2.67,23.97,1.40E+04,13,12,-6,877,,1.533,159.4,0.699,59.77
1/13/1995,7.4,86,1.3,0.9,2356,74,1402,5.2,733,14.8,1401,89,232,468,1147,261,1107,217,1133,868,1133,561.1,1316,6556,3972,12.04,8.06,24.16,1.40E+04,50,48,-28,2848,,2.125,135.3,1.807,31.32
1/14/1995,11.3,85,2,0,204,82,1458,10,1724,16.5,1419,89,204,526,1209,310,1205,238,1239,973,1209,505.3,1305,3661,3252,7,5.14,24.36,1.40E+04,29,27,-46,1375,,2.623,152.7,2.392,24.03
1/15/1995,15.7,83,1.3,13.4,0,79,1037,14,1333,18,1310,84,1804,396,1310,323,1023,195,1310,775,1307,548.5,1310,3410,3410,6.52,5.22,24.57,1.40E+04,27,25,-46,1545,,4.961,158.9,4.7,18.6
1/16/1995,13.2,85,6.4,9.9,2343,82,250,13.2,55,15.9,32,87,2343,125,1122,120,1122,74,1122,256,1122,185.1,1122,1442,1442,2.85,2.22,24.78,1.40E+04,12,10,-41,723,,2.081,158.2,1.412,45.92
1/17/1995,4.9,85,0,1.2,2353,79,1510,12.4,853,10.8,16,87,0,663,1309,315,1308,294,1309,1234,1309,743,1340,4469,3028,8.05,6.03,25.01,1.40E+04,32,32,-24,1711,,2.967,357,2.689,24.81
1/18/1995,2.8,87,0,1.1,26,83,1329,6,2,5.7,1345,89,131,164,1116,154,1116,84,1116,295.3,1115,206,1115,2335,2335,4.17,3.12,25.24,1.40E+04,17,16,-8,817,,1.829,41.64,0.846,59.38
1/19/1995,3.2,88,0,1.5,701,86,1311,4,2043,5.2,1244,89,230,194,1149,182,1149,90,1149,348.3,1149,245.3,1149,2429,2429,4.35,3.26,25.48,1.40E+04,17,17,-7,841,,1.09,146,0.599,54.38
1/20/1995,5.8,86,26.9,3.4,141,84,1516,10.4,951,7.7,1023,88,427,386,1344,263,1345,176,1344,771,1344,518.3,1344,1402,1402,2.54,1.85,25.73,1.50E+04,10,10,-12,481,,2.813,91.5,2.059,41.94
1/21/1995,3.3,87,9.7,0.4,2344,84,1545,7.2,251,5.9,21,88,2358,228,1302,212,1302,110,1302,400.1,1301,281.5,1301,2364,2364,4.12,3.12,25.99,1.50E+04,16,16,-12,732,,2.685,180.8,2.179,35.18
1/22/1995,0.3,86,5,-2.3,2359,81,1832,6.4,2251,2.9,1448,89,2333,202,1415,202,1241,103,1415,335.8,1415,266.1,1241,2600,2600,4.13,3.56,26.25,1.50E+04,16,18,-65,346,,1.627,245.4,1.231,39.94
1/23/1995,-1.5,80,0,-5.6,649,61,1508,6.4,12,2.3,1444,89,756,630,1206,299,1218,67,359,1054,1207,555.9,1420,7924,4383,12.77,6.69,26.52,1.50E+04,48,53,-34,-400,,1.493,282.1,0.74,57.53
1/24/1995,-1.3,85,0.5,-2.9,2031,80,1404,7.6,2253,0,1357,89,402,322,1158,256,1201,28,1158,651.2,1158,383.9,1200,2673,2673,4.37,3.2,26.8,1.50E+04,16,18,-47,-693,,1.493,333.8,1.219,34.7
1/25/1995,-0.9,73,0,-5.9,2310,57,1457,7.2,1525,3.4,1331,86,811,585,1056,312,1254,203,1329,1073,1102,593.9,1329,5468,5085,9.1,6.56,27.08,1.50E+04,34,36,-64,-574,,1.385,338.2,0.83,51.27
1/26/1995,-2,67,0,-5.9,6,46,1336,11.2,1953,2.4,1303,88,552,664,1327,283,1130,326,1328,1069,1327,766,1327,9669,4428,15.46,7.28,27.38,1.50E+04,56,62,-68,1816,,2.375,317.8,1.664,44.34
1/27/1995,-2.6,55,0.3,-8.9,2355,39,1555,10.4,1327,1.5,1440,84,732,742,1147,250,1144,,,1204,1146,609.1,1321,1.00E+04,3393,16.41,,27.68,1.60E+04,59,65,,,,3.019,309.7,2.42,36.09
1/28/1995,-8.8,50,0,-13.6,702,35,1041,8.8,1050,-3.2,1406,58,456,561,1150,57,1214,,,925,1215,643.7,1313,1.20E+04,1670,19.4,,27.99,1.60E+04,69,76,,,,2.597,357.8,2.274,28.58
1/29/1995,-8.2,64,0,-12.6,722,42,1529,7.2,209,-1,1512,88,2322,567,1216,60,1142,,,940,1159,691.4,1307,1.20E+04,1804,19.82,,28.3,1.60E+04,70,77,,,,2.012,11.73,1.313,47.72
1/30/1995,-4.7,59,0,-14.1,637,23,1611,6.4,1103,4.6,1448,88,39,569,1207,61,1235,,,940,1214,693.2,1327,1.30E+04,1802,19.78,,28.62,1.60E+04,69,78,,,,1.724,126.8,0.277,74.2
1/31/1995,-0.4,57,0,-6.4,213,27,1620,8.4,1512,5.3,1530,81,405,791,1130,337,1128,,,1311,1130,771,1315,8883,5176,15.21,,28.95,1.60E+04,53,54,,,,2.094,209.6,1.489,43.55
2/1/1995,2.9,56,0,-1.4,543,38,26,8.8,929,6.3,1319,72,2359,590,1019,300,1158,,,1017,1020,470,1158,7673,6073,13.38,,29.29,1.70E+04,46,46,,,,3.156,232.1,2.843,25.51
2/2/1995,-2,58,0,-10,2359,25,1420,10,1342,2.1,37,84,354,612,1012,219,1013,,,1048,1011,786,1325,1.10E+04,2389,19.77,,29.63,1.70E+04,67,68,,,,2.792,344.1,2.22,36.66
2/3/1995,-7.9,57,0,-13.1,635,29,1559,7.6,51,-2.3,1428,77,608,598,1203,139,1509,,,1066,1202,821,1312,1.30E+04,2254,22.07,,29.97,1.70E+04,74,75,,,,1.916,7.53,1.029,55.11
2/4/1995,-3.5,84,23.9,-5.3,427,58,2,11.6,1434,-0.1,1252,90,1155,98,1512,92,1512,,,212.3,1512,169.4,1512,1010,1010,2.1,,30.33,1.70E+04,7,6,,,,3.497,12.44,1.631,59.17
2/5/1995,-9.7,50,0,-16.3,2357,40,1508,14,204,-2.7,12,77,0,667,1232,292,1008,,,1174,1232,881,1252,1.40E+04,5309,23.99,,30.69,1.70E+04,78,81,,,,5.017,288,4.618,22.83
2/6/1995,-14.9,46,0,-18.3,658,37,1812,14.8,1431,-10.7,1423,52,737,729,1153,386,1243,,,1258,1154,729,1420,1.20E+04,5947,20.14,,31.05,1.80E+04,65,68,,,,4.402,273.4,4.019,23.9
2/7/1995,-13.7,58,0,-26.3,728,46,1606,7.2,1058,-5.2,1555,77,859,674,1204,225,1358,,,1195,1204,818,1326,1.30E+04,4049,21.63,,31.42,1.80E+04,69,71,,,,1.886,217.1,1.136,51.09
2/8/1995,-10.9,57,0,-20.1,720,35,1341,10.4,1600,-4.3,1400,82,841,698,1320,262,1359,,,1261,1316,1001,1316,1.40E+04,3866,24.12,,31.8,1.80E+04,76,79,,,,2.298,317.6,1.086,58.83
2/9/1995,-8.5,53,0,-18.8,723,32,1718,11.2,1304,-1.4,1515,81,747,721,1407,383,1333,,,1312,1407,1036,1407,1.20E+04,4325,21.97,,32.18,1.80E+04,68,68,,,,3.033,233,2.141,43.94
2/10/1995,-2.1,53,0,-9.1,627,45,11,7.6,1239,3.1,1529,70,731,826,1216,401,1302,,,1539,1216,917,1303,1.20E+04,6242,21.52,,32.57,1.80E+04,66,64,,,,2.663,185.6,2.026,39.6
2/11/1995,1.2,46,0,-7.2,2359,22,1422,10.8,1411,6.7,1345,69,651,645,1201,248,1354,,,1220,1310,927,1308,1.30E+04,4419,23.32,,32.96,1.90E+04,71,69,,,,3.363,236.7,2.363,44.17
2/12/1995,-10.2,39,0,-16,714,30,1425,14,224,-6.2,1410,55,7,661,1201,90,1302,,,1176,1209,923,1225,1.50E+04,2698,26.14,,33.36,1.90E+04,78,80,,,,3.622,292.9,3.146,29.34
2/13/1995,-9.8,46,0,-16.9,504,32,1502,9.2,1537,-4.3,1451,60,534,663,1227,185,1454,,,1204,1229,866,1317,1.50E+04,3178,25.99,,33.76,1.90E+04,77,77,,,,2.342,225.4,1.512,48.22
2/14/1995,-7.2,46,0,-13.7,2344,27,1601,6,1313,-1.6,1402,74,2359,674,1147,104,1147,,,1230,1147,904,1304,1.50E+04,2568,26.87,,34.16,1.90E+04,79,78,,,,1.959,234.7,0.308,74.4
