DATE,AVE_TEMP,AVE_RH,TOT_PREC,MIN_TEMP,MIN_TEMT,MIN_RH,MIN_RHT,MAX_WS,MAX_WST,MAX_TEMP,MAX_TEMT,MAX_RH,MAX_RHT,MAX_GSW,MAX_GSWT,MAX_DSW,MAX_DSWT,MAX_NETR,MAX_NETT,MAX_GPAR,MAX_GPAT,MAX_DPAR,MAX_DPAT,TOT_GSW,TOT_DSW,TOT_GPAR,TOT_DPAR,POT_PAR,POT_SW,KT_PAR,KT_SW,MIN_NETR,TOT_NETR,AVE_BP,AVE_SWS,AVE_RWD,AVE_RWS,WD_SD
1/1/1996,-1.3,81,0,-4.9,717,70,1225,4.4,1310,2.4,1302,96,629,535,1259,279,1259,123,1337,978,1258,701,1336,6150,5363,11.14,9.09,22.44,1.30E+04,50,48,-32,845,,1.234,348.2,0.913,41.3
1/2/1996,-7.8,86,4.8,-11.8,2359,81,3,6.8,1638,-3.4,19,90,1421,85,917,80,917,25,917,176.4,1207,135.9,1155,1554,1554,2.94,2.32,22.53,1.30E+04,13,12,-7,270,,1.933,348.8,1.814,20.07
1/3/1996,-12,88,17,-14.3,2359,84,1859,8.4,258,-9.5,1354,90,24,228,1214,213,1214,25,1213,452.8,1214,351.7,1214,1939,1939,3.69,2.99,22.64,1.30E+04,16,15,-3,182,,2.196,354.4,2.049,20.96
1/4/1996,-14.8,74,0,-20.6,2302,54,1517,7.6,1017,-10.1,1357,87,0,485,1146,87,1447,-1,8,852,1203,566.5,1336,9452,1935,15.78,5.28,22.75,1.30E+04,69,73,-170,-2.00E+03,,1.952,0.446,1.5,38.96
1/5/1996,-16.5,68,0,-25.4,441,51,1423,12.8,1541,-5.7,1117,87,733,526,1326,206,1346,1,711,902,1326,637.8,1327,9527,3174,15.11,5.67,22.87,1.30E+04,66,74,-226,-3.00E+03,,2.214,340.4,1.171,55.58
1/6/1996,-17.5,54,0,-25.9,749,43,1350,8.8,1221,-11,1512,69,813,496,1157,73,1429,-6,2356,855,1205,572.4,1331,9983,1873,16.71,6.1,23,1.30E+04,73,77,-137,-4.00E+03,,1.816,346,1.604,27.69
1/7/1996,-15.8,71,5.1,-17.7,1,59,325,10,2338,-13.6,2356,87,2359,92,1240,86,1240,11,920,188.6,1240,141.6,1240,1601,1601,2.89,2.3,23.14,1.30E+04,12,12,-25,-116,,2.56,358.9,2.324,24.57
1/8/1996,-13.4,83,38.1,-18.6,2326,71,1851,12.8,1343,-10.5,1649,90,1543,292,1228,275,1228,11,1904,556.7,1228,436.7,1228,3075,3075,5.77,4.83,23.29,1.30E+04,25,23,-188,-2.00E+03,,3.182,347.6,2.92,23.24
1/9/1996,-10.2,75,2.5,-19.9,122,62,1501,6,1035,-3.8,1455,95,2343,620,1312,346,1228,12,1729,1124,1312,826,1312,7665,5363,13.42,9.05,23.45,1.30E+04,57,58,-889,-7.00E+03,,1.584,170.2,1.207,39.56
1/10/1996,-7.6,87,0.3,-13.6,733,76,2359,8.8,2219,-3.3,1538,96,243,337,1150,299,1150,16,2029,619.4,1150,469.7,1150,4389,4269,7.62,6.42,23.61,1.30E+04,32,33,-342,-4.00E+03,,1.853,350.3,1.429,38.76
1/11/1996,-11.2,73,0,-19.6,727,53,1508,6,1220,-6.1,1442,87,854,505,1201,202,1426,44,145,900,1203,566.5,1324,9803,2579,16.58,5.73,23.79,1.30E+04,70,73,-709,-8.00E+03,,1.322,6.848,1.028,38.18
1/12/1996,-7.5,89,12.7,-13.2,531,76,1032,9.2,1704,-2,1717,99,1808,118,959,112,959,16,47,223.8,959,174.1,959,1336,1336,2.27,1.76,23.97,1.40E+04,9,10,-114,-1.00E+03,,1.693,356.1,1.468,29.57
1/13/1996,-1.5,82,0,-3.4,6,65,1417,8.4,1026,1.3,1419,99,47,491,1147,104,1248,52,932,872,1215,590.3,1323,8439,2124,14.37,6.89,24.16,1.40E+04,59,62,-1.00E+03,-8.00E+03,,2.16,348.6,1.899,28.14
1/14/1996,0,80,0,-9.6,722,64,1522,9.2,1212,5.4,1516,98,714,532,1148,153,1314,95,425,966,1149,698.7,1317,1.00E+04,3011,17.3,7.11,24.36,1.40E+04,71,73,-700,-1.00E+04,,2.404,160.7,2.093,29.15
1/15/1996,-4.4,59,0,-12.2,2350,26,1701,11.6,1057,1.4,53,98,602,512,1204,98,823,41,1950,920,1212,663.9,1317,1.10E+04,1811,18.55,7.54,24.57,1.40E+04,76,76,-608,-9.00E+03,,2.592,11.03,2.011,38.35
1/16/1996,-11.5,61,0,-21.1,751,40,11,6.4,1110,-5.8,2353,99,2357,456,1041,391,1042,24,2109,862,1041,613.8,1041,4531,4045,8.55,6.62,24.78,1.40E+04,34,32,-411,-3.00E+03,,1.28,38.11,0.519,62.45
1/17/1996,2,93,0,-6,2,79,1507,6.4,1214,8.9,1615,100,127,561,1207,353,1208,51,621,981,1207,766,1310,6435,5108,12.05,10.05,25.01,1.40E+04,48,46,-609,-4.00E+03,,1.947,152.1,1.449,40.97
1/18/1996,4.3,95,0,-3.5,732,84,1142,8.4,2335,11.1,2347,100,701,590,1033,425,1130,196,544,1044,1130,699,1130,5786,4629,10.74,8.37,25.24,1.40E+04,43,41,-499,-3.00E+03,,2.084,119.3,1.864,26.32
1/19/1996,9.3,91,37.6,-4.9,0,59,2335,17.6,641,14,1441,97,1638,177,1003,169,1003,64,229,363.6,1003,299.8,1003,1194,1194,2.48,2.23,25.48,1.40E+04,10,8,-105,-928,,6.18,146.8,3.953,48.62
1/20/1996,-5.2,64,0,-9.5,2341,52,1447,10.8,3,-1.5,1317,95,2357,618,1331,285,1249,349,1320,1058,1242,801,1331,1.00E+04,3154,17.06,6.67,25.73,1.50E+04,66,70,-86,254,,1.886,341.1,1.476,37.79
1/21/1996,-6.3,90,0.5,-11.5,457,70,1309,4,1223,-1.9,1336,97,2358,182,1054,168,1053,36,1054,405.1,1054,305.7,1053,1869,1869,3.73,3.08,25.99,1.50E+04,14,13,-24,-273,,0.89,32.6,0.259,68.21
1/22/1996,0.6,79,0,-2.7,1017,67,1544,5.2,1234,5.5,1544,97,1014,547,1227,166,1307,194,1135,949,1227,592.2,1400,8305,2298,14.24,6.42,26.25,1.50E+04,54,56,-57,1093,,2.196,162.7,1.575,43.06
1/23/1996,1,86,0,-2.3,436,75,1424,6,1338,3.7,1414,95,516,377,1337,276,1248,162,1248,656.9,1248,479.5,1337,5146,4912,8.98,7.38,26.52,1.50E+04,34,34,-58,1125,,1.984,155.3,1.807,24.22
1/24/1996,6.4,92,19.7,2,209,75,2312,15.6,1833,10.4,1544,98,804,80,1316,76,1316,53,1316,160.5,1316,130,1316,935,935,1.79,1.57,26.8,1.50E+04,7,6,-36,661,,3.62,160.8,2.29,49.1
1/25/1996,-3.6,56,0,-9.9,2238,39,1526,10.8,1125,3.2,1,77,25,549,1157,179,928,238,1159,899,1206,625.1,1335,1.10E+04,2415,17.68,7.51,27.08,1.50E+04,65,72,-82,1269,,3.046,322.4,2.635,29.76
1/26/1996,-3,71,0,-11.2,742,60,1014,9.6,1229,2.9,2357,89,2359,521,1133,289,1249,237,1133,876,1133,535.7,1432,8406,4980,13.9,7.55,27.38,1.50E+04,51,54,-65,1284,,2.51,136.3,2.193,28.78
