DATE,AVE_TEMP,AVE_RH,TOT_PREC,MIN_TEMP,MIN_TEMT,MIN_RH,MIN_RHT,MAX_WS,MAX_WST,MAX_TEMP,MAX_TEMT,MAX_RH,MAX_RHT,MAX_GSW,MAX_GSWT,MAX_DSW,MAX_DSWT,MAX_NETR,MAX_NETT,MAX_GPAR,MAX_GPAT,MAX_DPAR,MAX_DPAT,TOT_GSW,TOT_DSW,TOT_GPAR,TOT_DPAR,POT_PAR,POT_SW,KT_PAR,KT_SW,MIN_NETR,TOT_NETR,AVE_BP,AVE_SWS,AVE_RWD,AVE_RWS,WD_SD
1/1/2001,-9.4,72,0,-18.7,717,50,1341,6.5,1148,-1.5,1359,92,356,446,1147,66,1002,9,957,887,1151,549.2,1408,9393,1696,17.55,6.91,22.44,1.30E+04,78,74,-66,-3.00E+03,752.31018,1.656,359.1,0.856,56.29
1/2/2001,-11.5,74,0,-20.4,747,50,1346,8.5,1716,-4.2,1341,91,2354,493,1102,73,1036,2,1203,887,1158,565.1,1406,9318,1783,17.18,6.97,22.53,1.30E+04,76,73,-69,-3.00E+03,756.06048,1.629,343.6,0.854,55.87
1/3/2001,-8.7,73,0,-19.2,247,51,1329,5.3,1450,0,1408,91,51,496,1205,156,1236,14,1054,993,1205,559,1404,8694,2828,16.96,8.14,22.64,1.30E+04,75,68,-46,-2.00E+03,753.06024,1.751,166.9,1.219,44.66
1/4/2001,-3.5,66,0,-7,2358,52,1345,7.7,1038,0.5,1345,83,2359,545,1108,292,1136,59,1343,1077,1117,669.3,1343,7017,4054,13.97,8.6,22.75,1.30E+04,61,55,-58,-998,747.80982,2.308,240.3,1.881,34.86
1/5/2001,-5.9,86,4.6,-14,332,55,1131,9.3,1144,-0.6,1128,97,2128,450,1124,282,1124,61,1124,931,1124,544.6,1124,4259,3918,8.89,7.97,22.87,1.30E+04,39,33,-40,-229,742.5594,1.798,141.7,1.354,40.25
1/6/2001,-4.1,84,0,-11.1,254,63,1538,6.5,1633,2.3,1407,96,17,554,1304,256,1304,47,1304,1065,1304,707,1402,6975,3083,13.53,6.94,23,1.30E+04,59,54,-118,-1.00E+03,740.30922,1.175,330.8,0.596,56.85
1/7/2001,-4,81,0,-12.5,254,58,1258,4.5,1330,2.7,1348,96,2334,478,1021,261,1123,39,858,950,1021,497.7,1123,4845,4524,10.21,9.1,23.14,1.30E+04,44,37,-28,142,745.55964,1.375,124.9,1.038,40.13
1/8/2001,-2.4,87,3.8,-9.3,438,57,1418,4.5,2127,4,1422,98,2101,210,1001,193,1048,30,1055,514.9,1001,428.4,1035,3322,3322,7.88,7.59,23.29,1.30E+04,34,25,-3,388,745.55964,1.064,42.83,0.394,64.3
1/9/2001,-3.4,72,0,-6.8,2240,52,1459,8.1,2247,-0.9,1503,97,0,555,1148,252,1154,65,1055,518.8,1457,518.8,1454,5548,3940,7.2,6.85,23.45,1.30E+04,31,42,-54,-869,744.05952,2.367,318.9,1.753,41.24
1/10/2001,-9.2,59,0.5,-15.9,2323,35,1528,11.3,450,-4.3,1515,91,135,651,1201,262,1302,34,1007,1310,1201,676.6,1346,9050,2772,18.04,9.71,23.61,1.30E+04,76,68,-62,-3.00E+03,749.30994,2.431,352,1.141,59
1/11/2001,-4.2,76,0,-15.7,0,48,1229,9.3,1442,5.4,1317,95,2202,454,1146,136,918,18,1009,908,1146,628.4,1342,8460,2582,16.89,8.69,23.79,1.30E+04,71,63,-65,-2.00E+03,748.55988,1.693,300.8,0.094,78.7
1/12/2001,-6.6,74,0,-14.2,732,39,1346,5.7,1235,2.5,1345,95,109,536,1022,82,1053,79,936,955,1158,707,1339,1.00E+04,1991,19.1,7.95,23.97,1.40E+04,80,75,-67,-981,754.56036,1.483,41.43,0.582,63.12
1/13/2001,-7.7,73,0,-16.2,408,44,1506,4.5,1329,2.5,1505,91,28,490,1058,87,858,42,1148,947,1207,714,1333,9418,2001,18.46,8.1,24.16,1.40E+04,76,69,-60,-2.00E+03,757.5606,1.401,128,0.884,49.19
1/14/2001,-4.6,80,0,-13.2,701,54,1444,3.7,235,3.7,1444,93,204,330,1427,270,1229,44,1159,693.1,1427,594,1427,5393,4989,11.91,10.74,24.36,1.40E+04,49,39,-36,-120,756.06048,1.009,116.7,0.511,56.91
1/15/2001,0.1,94,1.5,-2,104,83,208,3.7,2249,1.5,1425,98,2222,100,1100,99,1100,16,1423,240.9,1100,211.9,1059,1284,1284,3.17,2.98,24.57,1.40E+04,13,9,-6,214,752.31018,0.862,319.9,0.206,70.7
1/16/2001,2.9,78,0,0.3,15,53,1425,8.1,1422,6.7,1224,98,129,722,1142,344,1143,165,1142,1447,1142,661.3,1143,5176,3972,10.95,9.18,24.78,1.40E+04,44,37,-45,400,747.80982,2.23,256.2,1.384,49.88
1/17/2001,1.1,71,0,-5.8,2359,54,1104,8.1,1659,4.5,1103,85,0,289,939,235,1248,61,1248,574.2,939,469.2,1248,3598,3598,7.97,7.31,25.01,1.40E+04,32,25,-62,-914,753.06024,1.897,291.1,1.292,45.73
1/18/2001,-3.4,81,0,-10.2,350,55,1318,7.3,1357,1.3,1330,94,237,236,1322,224,1322,55,1322,523.4,1322,447.5,1322,3335,3335,7.75,7.42,25.24,1.40E+04,31,23,-48,64,755.31042,1.907,142.5,1.44,40.11
1/19/2001,0.5,96,7.1,-0.8,0,92,2354,4.9,1843,1.8,1207,98,906,93,1414,92,1414,21,1414,227.7,1414,200.6,1414,1428,1428,3.6,3.45,25.48,1.40E+04,14,10,-21,66,748.55988,1.314,28.56,0.443,65.96
1/20/2001,-3.1,83,2,-6.9,2230,74,1514,6.9,2259,0.9,10,95,511,151,1225,150,1225,18,1224,372.3,1225,330,1225,2246,2246,5.53,5.28,25.73,1.50E+04,21,15,-7,-69,750.06,2.162,354.5,1.909,27.7
1/21/2001,-7.7,78,15.5,-16.5,2336,43,1506,8.5,240,-1.2,1522,93,704,588,1237,109,1115,27,1114,913,1311,460.8,1414,7284,1951,9.21,6.72,25.99,1.50E+04,35,50,-69,-1.00E+03,750.81006,2.279,347.6,1.43,49.43
1/22/2001,-10.2,78,0,-18.7,643,47,1505,3.7,0,0.6,1513,92,2212,530,1212,106,1218,71,931,995,1159,609.3,1421,1.10E+04,2602,20.37,7.88,26.25,1.50E+04,78,74,-56,-1.00E+03,761.3109,1.422,113.3,0.824,52.53
1/23/2001,-8.8,77,0,-19.4,743,45,1444,6.5,1256,2.4,1510,93,2354,543,1031,93,1110,28,944,1021,1201,659.4,1409,1.10E+04,2368,20.55,8.2,26.52,1.50E+04,77,75,-58,-2.00E+03,756.06048,1.896,149.1,1.273,46.44
1/24/2001,-5.9,78,0,-15.9,750,47,1419,3.3,1327,3.9,1418,91,144,532,1105,128,1140,45,1140,976,1157,641.5,1401,1.00E+04,3407,19.32,9.74,26.8,1.50E+04,72,67,-42,-753,749.30994,1.203,118.7,0.45,64.09
1/25/2001,-2.4,70,0,-8.8,2305,48,1156,9.3,1550,3.3,1427,90,741,687,1152,323,1151,147,1153,1311,1152,887,1420,7251,4424,14.59,10.27,27.08,1.50E+04,54,47,-63,-1.00E+03,751.56012,1.741,355.8,1.205,44.96
1/26/2001,-7.1,70,0,-16,726,44,1412,4.5,109,-0.3,1412,92,509,532,1203,107,1524,52,1124,1053,1204,795,1343,1.20E+04,2495,21.69,8.87,27.38,1.50E+04,79,75,-53,-1.00E+03,753.8103,1.455,132.3,0.526,64.72
1/27/2001,-1.1,70,0,-4.7,710,57,2134,8.9,1759,3.5,1256,92,716,527,1116,326,1247,64,1242,1049,1116,658.7,1246,7293,5637,15.05,11.45,27.68,1.60E+04,54,47,-51,-176,745.55964,2.349,246.7,0.837,64.98
1/28/2001,-3.4,61,0,-12.3,2300,34,1330,8.1,102,1.7,1410,88,2302,533,1147,140,1016,57,1017,1069,1203,857,1317,1.10E+04,2748,22.13,10.42,27.99,1.60E+04,79,70,-70,-2.00E+03,753.8103,2.093,323.5,1.095,55.94
1/29/2001,-4.4,66,0,-11.2,58,42,1348,6.1,1404,2.2,1220,86,703,729,1215,306,1219,92,1215,1468,1215,1080,1303,9765,4624,19.8,11.51,28.3,1.60E+04,70,61,-47,-850,756.06048,1.849,155.4,1.265,45.5
